vote_count,vote_average,show_id
344,8.265,45501
344,7.881,4455
343,8.173,1835
342,7.7,45666
341,7.95,64757
341,7.194,18712
340,7.156,97441
339,7.7,46671
338,7.4,31387
338,7.095,13943
337,7.047,93808
337,7.994,9027
337,8.2,105797
337,8.433,123876
336,8.4,95171
336,6.647,84469
336,6.747,111838
336,8.272,135934
336,7.33,124124
335,7.4,4414
335,7.61,2423
335,8.373,39434
335,8.0,42942
335,7.884,61421
335,7.845,2171
334,7.8,154385
334,8.034,326
334,8.2,75865
334,7.864,5639
333,7.1,1664
333,8.153,39518
333,7.069,578
332,8.521,77696
332,7.819,95259
331,8.532,62565
331,7.076,66840
331,7.724,3122
331,7.745,71809
331,7.459,99935
330,7.142,8392
329,7.1,99121
329,6.614,61463
329,7.125,110529
328,6.861,4035
328,7.488,62211
328,7.383,60637
328,7.0,93784
328,7.873,43865
327,7.4,84380
327,7.89,4269
326,7.959,14009
326,8.423,69346
325,8.509,32118
325,7.608,72705
324,7.228,4606
324,7.5,2432
323,8.506,66078
323,7.701,7072
323,8.2,103847
323,8.2,1095
322,6.933,877
322,7.884,59186
322,8.084,105590
322,8.522,73833
322,8.0,88713
322,7.578,67384
322,8.3,43982
321,7.692,94372
321,7.072,32729
320,8.088,14853
320,6.219,42282
319,7.583,484
319,6.207,79130
318,7.237,61295
318,7.631,65942
318,8.612,108261
317,8.521,82728
317,8.549,71694
316,8.381,85404
316,8.002,713
316,7.307,734
315,7.8,2693
315,6.5,96658
315,8.347,34109
315,7.344,63522
314,7.269,70573
314,7.008,77459
314,7.075,58937
313,7.2,70865
313,6.9,92433
313,7.559,7482
313,7.155,103506
312,8.08,198102
312,7.4,103026
312,7.883,62255
311,8.458,46041
311,7.346,100074
310,7.406,32573
310,7.676,33234
310,7.1,103787
309,6.974,63647
309,8.013,815
309,8.0,96716
309,7.948,4625
308,8.1,5895
308,8.3,16946
308,7.724,33987
307,6.9,111837
307,7.989,33873
306,7.422,2777
306,8.513,1430
306,7.337,133727
306,6.721,83135
306,7.355,103992
305,6.87,84052
305,7.5,100963
304,7.48,4232
304,7.273,81292
304,8.087,84503
304,7.8,6024
303,7.9,56425
302,6.921,2745
302,8.5,128876
302,8.364,17149
302,7.31,4376
302,7.21,94423
302,7.238,931
301,8.048,114461
301,7.463,126525
301,8.1,2604
301,6.9,83685
301,7.003,68427
300,7.082,116989
300,7.815,90766
299,7.263,35527
298,7.5,1998
298,7.455,120452
298,8.54,62602
298,8.362,88043
298,7.71,119988
298,6.951,237
297,6.918,2706
297,7.074,66579
297,8.588,9302
297,7.891,90823
297,8.0,126531
296,7.924,79588
296,8.4,135918
295,8.183,65329
295,7.6,4601
295,7.141,46638
295,8.6,98214
295,6.546,90811
294,7.862,2742
294,7.0,73117
293,7.111,156077
293,7.009,48860
293,8.177,196454
293,7.331,37664
293,7.906,103411
293,7.7,65817
293,8.024,6516
292,7.55,1678
292,7.7,49009
292,7.4,4575
292,8.3,61755
292,6.7,3934
291,8.491,68188
291,7.277,61986
290,8.531,43
290,7.031,104157
290,8.326,62640
289,7.526,85833
289,7.445,43062
289,6.6,1739
289,7.379,81983
289,8.581,37419
289,8.324,13579
288,7.686,3172
288,8.5,2192
288,7.446,72306
288,7.707,105288
288,7.4,397
288,7.0,83247
288,7.898,80825
288,7.396,98187
287,8.221,66329
287,8.1,71731
286,7.484,72755
286,7.332,68799
286,7.259,114478
286,7.423,7869
286,8.1,64163
286,7.5,6005
285,6.6,4656
285,6.333,1867
284,7.618,120462
284,7.046,219
284,6.796,89233
284,7.136,46976
284,7.787,61018
283,7.574,98201
283,8.498,72548
283,8.6,83880
283,7.7,75209
283,7.86,11767
283,7.009,156902
283,6.353,1466
283,7.885,128252
282,8.489,96162
282,6.344,58111
281,8.422,154825
281,7.431,81559
281,7.3,57092
280,7.3,85853
280,7.198,39276
280,8.05,6673
280,8.373,94404
280,7.784,2009
280,7.2,134297
279,7.142,114922
279,6.336,60626
279,7.76,105177
279,7.4,91602
279,7.801,34793
279,7.36,39297
279,8.2,64320
279,7.595,46880
278,6.775,63201
